client,image,label
client_0,ISIC_0065272.npy,1
client_0,ISIC_0062612.npy,1
client_0,ISIC_0068721.npy,0
client_0,ISIC_0056660.npy,0
client_0,ISIC_0066799.npy,2
client_0,ISIC_0064301.npy,4
client_0,ISIC_0072857.npy,2
client_0,ISIC_0053556.npy,1
client_0,ISIC_0070779.npy,1
client_0,ISIC_0067903.npy,0
client_0,ISIC_0060673.npy,2
client_0,ISIC_0062925.npy,0
client_0,ISIC_0065389.npy,4
client_0,ISIC_0056534.npy,1
client_0,ISIC_0073036.npy,1
client_0,ISIC_0065287.npy,1
client_0,ISIC_0069981.npy,4
client_0,ISIC_0066390.npy,0
client_0,ISIC_0059605.npy,0
client_0,ISIC_0064638.npy,3
client_0,ISIC_0059606.npy,1
client_0,ISIC_0067467.npy,1
client_0,ISIC_0055839.npy,4
client_0,ISIC_0062648.npy,1
client_0,ISIC_0072322.npy,4
client_0,ISIC_0069873.npy,0
client_0,ISIC_0060854.npy,0
client_0,ISIC_0061742.npy,1
client_0,ISIC_0068980.npy,2
client_0,ISIC_0054981.npy,4
client_0,ISIC_0060927.npy,2
client_0,ISIC_0056499.npy,4
client_0,ISIC_0068611.npy,2
client_0,ISIC_0066101.npy,0
client_0,ISIC_0057462.npy,0
client_0,ISIC_0055880.npy,1
client_0,ISIC_0058310.npy,2
client_0,ISIC_0066392.npy,2
client_0,ISIC_0056982.npy,1
client_0,ISIC_0053772.npy,2
client_0,ISIC_0058036.npy,0
client_0,ISIC_0060922.npy,2
client_0,ISIC_0069496.npy,4
client_0,ISIC_0054977.npy,2
client_0,ISIC_0055209.npy,2
client_0,ISIC_0072430.npy,6
client_0,ISIC_0072331.npy,1
client_0,ISIC_0056257.npy,1
client_0,ISIC_0056027.npy,2
client_0,ISIC_0056020.npy,2
client_0,ISIC_0065461.npy,1
client_0,ISIC_0072230.npy,0
client_0,ISIC_0067739.npy,4
client_0,ISIC_0054022.npy,1
client_0,ISIC_0056976.npy,4
client_0,ISIC_0070108.npy,0
client_0,ISIC_0058288.npy,4
client_0,ISIC_0056413.npy,0
client_0,ISIC_0059695.npy,4
client_0,ISIC_0066908.npy,7
client_0,ISIC_0058623.npy,3
client_0,ISIC_0062066.npy,4
client_0,ISIC_0069110.npy,1
client_0,ISIC_0060246.npy,1
client_0,ISIC_0070633.npy,1
client_0,ISIC_0068334.npy,7
client_0,ISIC_0054644.npy,7
client_0,ISIC_0062028.npy,1
client_0,ISIC_0073003.npy,1
client_0,ISIC_0056047.npy,0
client_0,ISIC_0058640.npy,3
client_0,ISIC_0066285.npy,1
client_0,ISIC_0059274.npy,1
client_0,ISIC_0064120.npy,0
client_0,ISIC_0061174.npy,2
client_0,ISIC_0059717.npy,2
client_0,ISIC_0058830.npy,1
client_0,ISIC_0058722.npy,2
client_0,ISIC_0068271.npy,1
client_0,ISIC_0062235.npy,0
client_0,ISIC_0067452.npy,0
client_0,ISIC_0056705.npy,1
client_0,ISIC_0062686.npy,0
client_0,ISIC_0072814.npy,3
client_0,ISIC_0061692.npy,4
client_0,ISIC_0063698.npy,4
client_0,ISIC_0054417.npy,1
client_0,ISIC_0060392.npy,2
client_0,ISIC_0069087.npy,0
client_0,ISIC_0058439.npy,0
client_0,ISIC_0063704.npy,0
client_0,ISIC_0056520.npy,3
client_0,ISIC_0063905.npy,2
client_0,ISIC_0069935.npy,1
client_0,ISIC_0063590.npy,1
client_0,ISIC_0064202.npy,1
client_0,ISIC_0062473.npy,2
client_0,ISIC_0053784.npy,0
client_0,ISIC_0054307.npy,1
client_0,ISIC_0068153.npy,0
client_0,ISIC_0058971.npy,3
client_0,ISIC_0054322.npy,2
client_0,ISIC_0056928.npy,6
client_0,ISIC_0070042.npy,1
client_0,ISIC_0066403.npy,0
client_0,ISIC_0062205.npy,1
client_0,ISIC_0060239.npy,0
client_0,ISIC_0072708.npy,7
client_0,ISIC_0057092.npy,1
client_0,ISIC_0056897.npy,1
client_0,ISIC_0066777.npy,4
client_0,ISIC_0060378.npy,1
client_0,ISIC_0057151.npy,1
client_0,ISIC_0072443.npy,1
client_0,ISIC_0071107.npy,1
client_0,ISIC_0057052.npy,3
client_0,ISIC_0054940.npy,2
client_0,ISIC_0059782.npy,1
client_0,ISIC_0061124.npy,2
